Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
firstTestSuite,Firefox 57.0,,2018-02-07 20:38:58,2018-02-07 20:39:18,"19,795s",PASSED
,,,,,,
Test Cases/firstTestcase,Firefox 57.0,,2018-02-07 20:38:58,2018-02-07 20:39:09,"10,297s",PASSED
openBrowser,Firefox 57.0,,2018-02-07 20:38:59,2018-02-07 20:39:04,"5,236s",PASSED
navigateToUrl,Firefox 57.0,,2018-02-07 20:39:04,2018-02-07 20:39:05,"0,966s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:05,2018-02-07 20:39:05,"0,340s",PASSED
setText,Firefox 57.0,,2018-02-07 20:39:05,2018-02-07 20:39:05,"0,103s",PASSED
setText,Firefox 57.0,,2018-02-07 20:39:05,2018-02-07 20:39:05,"0,082s",PASSED
sendKeys,Firefox 57.0,,2018-02-07 20:39:05,2018-02-07 20:39:05,"0,065s",PASSED
selectOptionByValue,Firefox 57.0,,2018-02-07 20:39:05,2018-02-07 20:39:06,"0,883s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:06,2018-02-07 20:39:06,"0,228s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:06,2018-02-07 20:39:07,"0,228s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:07,2018-02-07 20:39:07,"0,267s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:07,2018-02-07 20:39:07,"0,233s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:07,2018-02-07 20:39:07,"0,238s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:07,2018-02-07 20:39:08,"0,232s",PASSED
setText,Firefox 57.0,,2018-02-07 20:39:08,2018-02-07 20:39:08,"0,129s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:08,2018-02-07 20:39:08,"0,241s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-07 20:39:08,2018-02-07 20:39:08,"0,023s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:08,2018-02-07 20:39:08,"0,250s",PASSED
closeBrowser,Firefox 57.0,,2018-02-07 20:39:08,2018-02-07 20:39:09,"0,227s",PASSED
,,,,,,
Test Cases/firstTestcase - Copy,Firefox 57.0,,2018-02-07 20:39:09,2018-02-07 20:39:18,"9,150s",PASSED
openBrowser,Firefox 57.0,,2018-02-07 20:39:09,2018-02-07 20:39:13,"4,395s",PASSED
navigateToUrl,Firefox 57.0,,2018-02-07 20:39:13,2018-02-07 20:39:14,"0,983s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:14,2018-02-07 20:39:14,"0,335s",PASSED
setText,Firefox 57.0,,2018-02-07 20:39:14,2018-02-07 20:39:14,"0,071s",PASSED
setText,Firefox 57.0,,2018-02-07 20:39:14,2018-02-07 20:39:15,"0,071s",PASSED
sendKeys,Firefox 57.0,,2018-02-07 20:39:15,2018-02-07 20:39:15,"0,038s",PASSED
selectOptionByValue,Firefox 57.0,,2018-02-07 20:39:15,2018-02-07 20:39:15,"0,851s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:15,2018-02-07 20:39:16,"0,231s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:16,2018-02-07 20:39:16,"0,238s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:16,2018-02-07 20:39:16,"0,266s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:16,2018-02-07 20:39:16,"0,230s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:16,2018-02-07 20:39:17,"0,235s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:17,2018-02-07 20:39:17,"0,230s",PASSED
setText,Firefox 57.0,,2018-02-07 20:39:17,2018-02-07 20:39:17,"0,122s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:17,2018-02-07 20:39:17,"0,246s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-07 20:39:17,2018-02-07 20:39:17,"0,018s",PASSED
click,Firefox 57.0,,2018-02-07 20:39:17,2018-02-07 20:39:17,"0,238s",PASSED
closeBrowser,Firefox 57.0,,2018-02-07 20:39:17,2018-02-07 20:39:18,"0,199s",PASSED
